model,modbus_address,parameter,parameter_manual_reference,unit,register_length,data_type,r_w,indb,setup_read,setup_write,timestamp,read_command,write_command,value_weight,address
EM210-72D.MV5.3.X.OS.X,40,watts,W _,W,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,42,va,VA _,VA,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,44,var,VAR _,VAR,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,46,pf_l1,PF L1,NULL,1,int32,r,t,f,f,f,3,NULL,1000,NULL
EM210-72D.MV5.3.X.OS.X,47,pf_l2,PF L2,NULL,1,int32,r,t,f,f,f,3,NULL,1000,NULL
EM210-72D.MV5.3.X.OS.X,48,pf_l3,PF L3,NULL,1,int32,r,t,f,f,f,3,NULL,1000,NULL
EM210-72D.MV5.3.X.OS.X,49,power_factor,PF _,NULL,1,int32,r,t,f,f,f,3,NULL,1000,NULL
EM210-72D.MV5.3.X.OS.X,50,phase_sequence,Phase sequence,NULL,1,int16,r,f,f,f,f,3,NULL,,NULL
EM210-72D.MV5.3.X.OS.X,51,frequency,Hz,Hz,1,int16,r,t,f,f,f,3,NULL,1,NULL
EM210-72D.MV5.3.X.OS.X,52,kwh_imported_total,kWh(+) TOT,kWh,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,54,varh_imported_q1,kvarh(+) TOT,kVARh,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,78,kwh_exported_total,kWh(-) TOT,kVWh,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,90,hour_m,Hour counter meter,NULL,1,int32,r,f,f,f,f,3,NULL,100,NULL
EM210-72D.MV5.3.X.OS.X,92,hour_m_exported_kwh,Hour counter meter neg,NULL,1,int32,r,f,f,f,f,3,NULL,100,NULL
EM210-72D.MV5.3.X.OS.X,130,thd_current_l1,THD(16h) A L1,A,1,int32,r,f,f,f,f,3,NULL,100,NULL
EM210-72D.MV5.3.X.OS.X,132,thd_current_l2,THD(16h) A L2,A,1,int32,r,f,f,f,f,3,NULL,100,NULL
EM210-72D.MV5.3.X.OS.X,134,thd_current_l3,THD(16h) A L3,A,1,int32,r,f,f,f,f,3,NULL,100,NULL
EM210-72D.MV5.3.X.OS.X,136,thd_voltage_ll,THD(16h) V L-N _,V,1,int32,r,f,f,f,f,3,NULL,0,NULL
EM210-72D.MV5.3.X.OS.X,138,thd_voltage_ln,THD(16h) V1-N,V,1,int32,r,f,f,f,f,3,NULL,100,NULL
EM210-72D.MV5.3.X.OS.X,140,thd_voltage_l1-l2,THD(16h) V2-N,V,1,int32,r,f,f,f,f,3,NULL,100,NULL
EM210-72D.MV5.3.X.OS.X,142,thd_voltage_l1,THD(16h) V3-N,V,1,int32,r,f,f,f,f,3,NULL,100,NULL
EM210-72D.MV5.3.X.OS.X,144,thd_voltage_l2-l3,THD(16h) V L-L _,V,1,int32,r,f,f,f,f,3,NULL,0,NULL
EM210-72D.MV5.3.X.OS.X,146,thd_voltage_l2,THD(16h) V12,V,1,int32,r,f,f,f,f,3,NULL,100,NULL
