serial,modbus_address,parameter_description,standard,data_type,data_range,model,mod_default,register_number,indb,setup
16,[4192],apparent_power_scale_factor,sunspec,sunssf,0 ~ 4,"[1, 4]",NULL,1,f,f
17,[4197],reactive_power_scale_factor,sunspec,sunssf,0 ~ 4,"[1, 4]",NULL,1,f,f
18,[4202],power_factor_scale_factor,sunspec,sunssf,-3,"[1, 4]",NULL,1,f,f
19,[4219],totwh_sf,sunspec,acc32,-3 ~ 0,"[1, 4]",NULL,1,f,f
20,[4236],totvah_sf_sunspec,sunspec,sunssf,-3 ~ 0,"[2, 4]",NULL,1,f,f
21,[4269],totvarh_sf,sunspec,0,NULL,"[2, 4]",NULL,1,f,f
22,"[[4270, 4271]]",meter_event_flags,0,bitfield32,0,"[1, 4]",0,2,f,f
23,[4272],sunspec_end_id_sunspec,sunspec,uint16,0xFFFF,"[1, 4]",NULL,1,f,f
24,[4273],sunspec_end_lenth_sunspec,sunspec,uint16,0x0000,"[1, 4]",NULL,1,f,f
25,[4167],amps_total,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
26,[4168],amps_phase_a,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
27,[4169],amps_phase_b,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
28,[4170],amps_phase_c,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
29,[4172],voltage_ln_average,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
30,[4173],phase_voltage_an,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
31,[4174],phase_voltage_bn,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
32,[4175],phase_voltage_cn,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
33,[4176],voltage_ll_average,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
34,[4177],phase_voltage_ab,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
35,[4178],phase_voltage_bc,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
36,[4179],phase_voltage_ca,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
37,[4181],frequency,Acurev 1300,int16,"[45 , 65]","[1, 4]",NULL,1,t,f
38,[4183],total_real_power,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
39,[4184],watts_phase_a,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
40,[4185],watts_phase_b,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
41,[4186],watts_phase_c,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
42,[4188],ac_apparent_power_va,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
43,[4189],va_phase_a,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
44,[4190],va_phase_b,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
45,[4191],va_phase_c,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
46,[4193],reactive_power_var,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
47,[4194],var_phase_a,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
48,[4195],var_phase_b,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
49,[4196],var_phase_c,sunspec,int16,"[0, 9999]","[1, 4]",NULL,1,t,f
50,[4198],power_factor,sunspec,int16,"[-1000, 1000]","[1, 4]",NULL,1,t,f
51,[4199],pf_phase_a,sunspec,int16,"[-1000, 1000]","[1, 4]",NULL,1,t,f
52,[4200],pf_phase_b,sunspec,int16,"[-1000, 1000]","[1, 4]",NULL,1,t,f
53,[4201],pf_phase_c,sunspec,int16,"[-1000, 1000]","[1, 4]",NULL,1,t,f
54,"[[4203, 4204]]",total_real_energy_exported,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
55,"[[4205, 4206]]",total_watt_hours_exported_in_phase_a,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
56,"[[4207, 4208]]",total_watt_hours_exported_in_phase_b,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
57,"[[4209, 4210]]",total_watt_hours_exported_in_phase_c,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
58,"[[4211, 4212]]",total_real_energy_imported,sunspec,acc32,"[0, 999999999]","[1, 4]",NULL,2,t,f
59,"[[4213, 4214]]",total_watt_hours_imported_phase_a,sunspec,acc32,"[0, 999999999]","[1, 4]",NULL,2,t,f
60,"[[4215, 4216]]",total_watt_hours_imported_phase_b,sunspec,acc32,"[0, 999999999]","[1, 4]",NULL,2,t,f
61,"[[4217, 4218]]",total_watt_hours_imported_phase_c,sunspec,acc32,"[0, 999999999]","[1, 4]",NULL,2,t,f
